"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"SAP18",9.23403082945454,9.34054543307692,3.86254414889206,0.000714216183263448,0.00246974109061681,-0.964318768368039,"SAP18"
"GNA13",-1.78094076757577,16.9748386734615,-3.86012343158773,0.00071863147634969,0.00248233413090006,-0.970304350534292,"GNA13"
"CDK5",7.946704604,8.04599054153846,3.85849129117252,0.000721623595823194,0.00248998937526519,-0.974339555237196,"CDK5"
"BOP1",8.13745459654545,7.07855886961538,3.85627590005958,0.000725704593338924,0.00250138135340989,-0.97981610200469,"BOP1"
"PPFIA3",-10.6560411792727,8.48900512230769,-3.85184411153434,0.000733936759213887,0.00252704191021176,-0.990769423852942,"PPFIA3"
"GBP1",-1.65704486321213,13.5189233834615,-3.85091415728739,0.00073567580890179,0.00253031475966328,-0.993067455014051,"GBP1"
"IPO7",6.9938355681212,11.51861588,3.84784177677392,0.000741450167577232,0.00254744495477017,-1.00065873530759,"IPO7"
"ST3GAL6",9.1825035730303,7.99506001884615,3.84672131587136,0.000743567091694995,0.00255048248960117,-1.0034268221709,"ST3GAL6"
"GMDS",7.37901721660605,8.88784567,3.83962267943268,0.000757117703152976,0.00259294632808741,-1.02095939419406,"GMDS"
"AIP",7.14150511730303,11.5368838615,3.83696121879411,0.000762260574595482,0.0026077763154338,-1.02753077669449,"AIP"
"FMNL1",7.89920554448484,5.86873802615385,3.83063263516451,0.000774628078208091,0.00264726464640018,-1.0431521406069,"FMNL1"
"TTR",-1.4909122979394,14.6621908069231,-3.82712017420307,0.0007815772187698,0.00266817159045988,-1.05181950715763,"TTR"
"ACADSB",7.87181331436363,6.87539540192308,3.82364311400683,0.000788516723185193,0.00268900123772719,-1.06039758885437,"ACADSB"
"CTPS1",8.16844397745455,6.11155000769231,3.82208000430082,0.000791656088783309,0.00269684117718221,-1.06425323108054,"CTPS1"
"ARPC1A",7.3713669640606,10.7520350473077,3.82036218738039,0.000795120352507547,0.00270577010731359,-1.06849003134011,"ARPC1A"
"RFTN1",7.11583694624243,7.253132745,3.81455568622787,0.000806940884223861,0.0027430861202059,-1.08280760338617,"RFTN1"
"RBM12",8.09787552890908,9.84163472576923,3.80756584053424,0.000821399830294162,0.0027863340966321,-1.10003583237089,"RBM12"
"APOB",-6.84097409448486,12.2919423480769,-3.8062743036589,0.00082409920744725,0.00279253891942791,-1.10321828164731,"APOB"
"GALE",6.6184611826,3.81834298996154,3.80463138163468,0.000827545606373758,0.00280125933634324,-1.10726617922671,"GALE"
"CTSA",8.01593905303029,7.03052139653846,3.80341953006363,0.000830096816538441,0.00280693433537603,-1.11025170586263,"CTSA"
"ATP6V0D1",7.29003615236363,12.0659894915385,3.7983941771175,0.000840759053596502,0.00283999558209597,-1.12262963868005,"ATP6V0D1"
"FAM50A",10.2490590807879,8.940756525,3.79797036600648,0.00084166438119897,0.00284006414223711,-1.12367333719904,"FAM50A"
"RING1",8.36409682945454,8.57400897307692,3.79100660604758,0.00085667805535111,0.00288768894918247,-1.14081840121698,"RING1"
"RAB39A",8.76357207557575,9.03515444576923,3.78554889775414,0.000868628450401501,0.00292489894788921,-1.15424988720406,"RAB39A"
"GALK1",7.49848661466666,11.14025649,3.77919383277421,0.000882750292199376,0.00296933510237715,-1.16988351314877,"GALK1"
"TLN2",-2.07860918703031,14.1107778884615,-3.77787873392547,0.00088570067617284,0.00297613975899334,-1.17311784446776,"TLN2"
"NRBP1",7.69684538139392,9.40201107730769,3.77528815377926,0.000891540934024843,0.00299263060385536,-1.17948822017573,"NRBP1"
"RPS23",7.68666233503029,12.7968986592308,3.77461946853309,0.000893054565651151,0.00299457899809252,-1.18113236921464,"RPS23"
"NIPSNAP1",7.54839485472727,11.2067873226923,3.77272209184842,0.000897363214968496,0.00300588575869927,-1.18579718695191,"NIPSNAP1"
"UBE2D3",7.46516752321211,12.4551617726923,3.77229279558622,0.000898340910080064,0.00300602292017406,-1.18685255377499,"UBE2D3"
"LAMA4",-8.98238721478788,7.29637606538462,-3.77052543635362,0.000902376993685191,0.00301638309659977,-1.19119703838106,"LAMA4"
"HGS",7.49826474793938,11.1787370926923,3.76536807020021,0.000914256882356117,0.00305291398072922,-1.20387172903209,"HGS"
"SOD1",-1.44849043248486,15.5111265646154,-3.75885187813237,0.000929486665026411,0.00310054335558186,-1.2198793555956,"SOD1"
"ABRACL",6.40022673557575,10.5293890203846,3.752783289166,0.000943894226558292,0.00314533392837545,-1.23478083233655,"ABRACL"
"HBQ1",-9.05353723721212,7.82225515461538,-3.74868086916908,0.000953757862726243,0.00317490558245696,-1.24485074949947,"HBQ1"
"COL1A2",-8.89603961878788,6.16030323615385,-3.74793991310903,0.000955550135941995,0.00317757552978017,-1.24666920931142,"COL1A2"
"RPS15",7.06646561484847,11.8157560173077,3.7471525431012,0.000957458302184932,0.00318062493965988,-1.24860147370817,"RPS15"
"RPS16",-1.1113667968485,14.9637199161538,-3.74637713764428,0.00095934112878539,0.0031835839527118,-1.25050427051547,"RPS16"
"C1S",-7.76916098218182,11.4007651392308,-3.74276949679373,0.000968149048769052,0.00320949410898749,-1.25935581507791,"C1S"
"LMO7",7.38308632064242,5.54020376638462,3.74073726280648,0.000973145576380024,0.00322272874572084,-1.26434100844747,"LMO7"
"SNRPGP15",7.41555384933332,12.3966915338462,3.73315501855647,0.000992011948720947,0.00328182097262425,-1.28293429548474,"SNRPGP15"
"SUMF2",8.22529181389091,7.96111958776923,3.72587135654593,0.00101047321329257,0.00333945266885257,-1.30078580043916,"SUMF2"
"EIF3B",6.75580076472727,11.3890391915385,3.72172993245957,0.00102112001864857,0.00337116681053834,-1.31093178136959,"EIF3B"
"ACSL1",-5.0508626138788,13.0446871942308,-3.71947489333701,0.00102696349104239,0.00338127903278249,-1.31645505667138,"ACSL1"
"ENO3",10.290001695697,7.20887023346154,3.7193284696812,0.00102734405015984,0.00338127903278249,-1.31681366103028,"ENO3"
"U2AF1L5",7.27609906957575,12.2168634523077,3.71384327262877,0.00104170032118129,0.00342501673224463,-1.3302446031623,"U2AF1L5"
"CBFB",7.70830643058787,9.41971350834615,3.71240125161302,0.00104550703873199,0.00343401441892626,-1.33377460327434,"CBFB"
"INPP1",7.64662537654544,9.41651408576923,3.71178435951311,0.00104713970465351,0.00343586023745718,-1.33528461115636,"INPP1"
"SCOC",8.34854182715151,7.42819429692308,3.71088654922088,0.00104952031728632,0.00344015393071685,-1.33748211775842,"SCOC"
"PPFIBP1",7.63172487448485,5.385226015,3.69554835264651,0.00109102023789361,0.00356889290866522,-1.37500158599209,"PPFIBP1"
"UFL1",6.93005409436363,10.430592075,3.69079967064277,0.00110419166612178,0.00360462976254813,-1.38660877460467,"UFL1"
"SERPINA3",-7.77777749103637,12.5806272718846,-3.68671377504659,0.00111564938202005,0.00363833218181131,-1.39659256391469,"SERPINA3"
"F12",-7.97180800575758,6.56683828576923,-3.68181795503048,0.00112953183092237,0.00367986562987806,-1.40855127984818,"F12"
"BUB3",6.83389483060605,11.5632536857692,3.67942439631363,0.00113638041334099,0.00369842266370307,-1.41439624191959,"BUB3"
"LAP2B",7.69253752587879,6.85822315423077,3.67773826494235,0.00114122927697068,0.00371044047598673,-1.41851305155783,"LAP2B"
"SHMT2",7.02718646587878,11.9201326234615,3.67698495011986,0.00114340215588546,0.00371374242736481,-1.42035215015086,"SHMT2"
"UBTF",8.0653576031515,7.20948273307692,3.67576716073134,0.00114692335239003,0.00372141257615732,-1.42332496326683,"UBTF"
"ENY2",8.18059469412121,10.1098287165385,3.67260137823955,0.00115612689054746,0.00374370453255985,-1.43105181877308,"ENY2"
"CTNNBL1",6.72842467981817,11.3798671173077,3.67195012546221,0.00115802916156193,0.00374608425348008,-1.43264112285887,"CTNNBL1"
"HLA-A",8.06701368836363,8.44790038230769,3.66588492225372,0.00117589315781502,0.00380004143346264,-1.44743865138191,"HLA-A"
"RNASEH2C",8.43064707563636,8.87196447769231,3.6610258606976,0.00119039917620683,0.00384304925195949,-1.45928844139693,"RNASEH2C"
"ITPA",6.88143689024242,11.6533093834615,3.65525654497905,0.0012078503166677,0.00389329010528026,-1.47335218197601,"ITPA"
"NEK7",7.31138749084848,9.12019312961539,3.65508010196844,0.00120838795414744,0.00389329010528026,-1.47378219233578,"NEK7"
"BCAT2",7.58980865636363,8.00047359692308,3.65199175320127,0.00121783646212116,0.00391979659673702,-1.48130785165697,"BCAT2"
"DDX58",6.72596182721212,11.4069546780769,3.65122566868806,0.00122019139932158,0.00392344108258814,-1.48317435336119,"DDX58"
"PBDC1",8.37497358030303,7.54283243346154,3.64930781404562,0.00122610643777865,0.00393478381344039,-1.48784654861495,"PBDC1"
"C9",-7.4984746819394,11.2124837615385,-3.64912932818234,0.00122665834883573,0.00393478381344039,-1.48828133188884,"C9"
"SYNM",-8.36577605987879,5.01374084923077,-3.64801608425724,0.00123010619703333,0.00393953172283429,-1.4909930025914,"SYNM"
"PPP2R5D",6.43939447345453,10.9748298676923,3.63577667616463,0.00126864420473841,0.00405890254536946,-1.52079013067489,"PPP2R5D"
"SRSF9",8.23424293060607,10.2976527503846,3.63383196588339,0.00127487530377982,0.00407477574684209,-1.52552186458467,"SRSF9"
"PGLYRP2",-3.95173828854547,14.1891658019231,-3.63285346604576,0.00127802185783236,0.00408076830028263,-1.52790239994743,"PGLYRP2"
"XRN2",6.83087808696969,11.6781940203846,3.63223879588187,0.00128000233282309,0.00408302931016827,-1.52939769843332,"XRN2"
"EIF1AX",7.06268808842424,12.0433355042308,3.62151718089211,0.0013150344563282,0.00418645393884642,-1.55546793462397,"EIF1AX"
"GLRX3",6.74868969612121,11.5204348592308,3.61607773256641,0.00133316438053808,0.00423770559818866,-1.56868549215995,"GLRX3"
"PKP3",7.79077784939394,6.00189970576923,3.61589591552623,0.00133377458839842,0.00423770559818866,-1.56912719480842,"PKP3"
"TMX1",6.65153750660604,11.3737604673077,3.61482246894576,0.00133738282288834,0.0042449668433716,-1.57173486859593,"TMX1"
"DDX19A",6.26760539345454,10.5791729930769,3.60868496175654,0.00135819722841106,0.00430677362250107,-1.58663996129673,"DDX19A"
"HP",-4.33784823709092,15.7206975769231,-3.60425090515545,0.00137343140658878,0.00435078122778222,-1.59740342968987,"HP"
"MICAL1",7.04294458247272,6.76900268184615,3.59449847119068,0.00140752820910397,0.00444562797540812,-1.62106289230667,"MICAL1"
"FTO",7.90729979084847,8.40639440730769,3.58941205121377,0.00142563843055166,0.00449840090820086,-1.63339482179774,"FTO"
"SNAPC2",-8.309463106,13.8937507773077,-3.58857089450906,0.00142865523670726,0.00450349180215481,-1.63543367529444,"SNAPC2"
"GATD1",7.55325676351514,9.56153699461538,3.5813742845716,0.00145472215131797,0.00456854278084669,-1.65287131082099,"GATD1"
"SUGP2",7.23250776296969,12.4788476588462,3.58130203147415,0.00145498620193995,0.00456854278084669,-1.65304632792909,"SUGP2"
"AZGP1",-5.60785737654546,12.2824924319231,-3.58024696302314,0.00145884731270142,0.00457618868666555,-1.65560187319012,"AZGP1"
"PRPS2",8.02899289848484,5.80981390576923,3.57636419632222,0.00147314301663725,0.00461651947303608,-1.66500455358739,"PRPS2"
"MYL9",-8.47135559248485,8.96646972769231,-3.568969515688,0.0015007484723148,0.00469844082698361,-1.68290308651874,"MYL9"
"IGHV3-13",-4.13716141806061,15.1684774176923,-3.55238667372636,0.00156450422498533,0.00488850443814793,-1.72299906536581,"IGHV3-13"
"IGLL5",-2.14659366927275,17.7114884526923,-3.54811297974832,0.00158135913701143,0.00493156605507257,-1.73332297773774,"IGLL5"
"HMGB2",-1.26640369957577,14.8917684019231,-3.54612998393318,0.00158923989551827,0.00495133089778459,-1.73811193988181,"HMGB2"
"RPL23",7.26256246587877,12.6319729496154,3.54481772629355,0.00159447608955978,0.00496282616042418,-1.7412805927505,"RPL23"
"CYCS",-5.9258278869091,12.7942204730769,-3.53841948346848,0.00162024859582456,0.0050332795198461,-1.75672480906724,"CYCS"
"UBA6",6.63276565290909,11.5490625280769,3.53580139224263,0.0016309112199293,0.0050615030026626,-1.76304184566357,"UBA6"
"CSNK2A1",6.46418893060605,11.2678994603846,3.53434364314417,0.00163687779205621,0.00507021316091543,-1.76655851303873,"CSNK2A1"
"SART3",6.43459327272726,11.2087018569231,3.53022869207286,0.00165383543217269,0.00511779932675232,-1.77648289197855,"SART3"
"TRIM25",6.92455027678787,5.05363871653846,3.52882745844152,0.00165964891073839,0.00513084138204191,-1.77986151862063,"TRIM25"
"ANP32A",1.51323217424242,15.2373717911538,3.52641005419816,0.00166972519831592,0.00515474644204797,-1.78568929998639,"ANP32A"
"EIF4A3",6.60300199121211,11.5122676211538,3.52620227513602,0.00167059404790585,0.00515474644204797,-1.78619014533866,"EIF4A3"
"UBLCP1",6.92220519012121,12.0841401119231,3.52426669808473,0.0016787090786973,0.00516984398612249,-1.79085533947542,"UBLCP1"
"P4HA1",7.28106817709091,7.76263771692308,3.52225394774188,0.00168718843590168,0.0051863287823191,-1.79570566129872,"P4HA1"
