"","GSM2109575","GSM2109576","GSM2109577","GSM2109578","GSM2109579","GSM2109580","GSM2109581","GSM2109582","GSM2109583","GSM2109584","GSM2109585","GSM2109586","GSM2109587","GSM2109588","GSM2109589","GSM2109590"
"DNAI2",0,2,2,0,7,0,12,0,1,0,17,0,8,1,5,6
"LOC105371891",0,1,0,0,0,0,1,0,1,0,5,0,1,0,1,0
"KIF19",1,0,0,1,26,0,3,2,1,4,6,1,13,4,2,4
"LOC107985078",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"BTBD17",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"GPR142",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
"GPRC5C",0,48,36,4,69,148,28,222,10,4,67,5,84,10,13,12
"CD300A",16,7,37,24,21,14,13,25,25,24,34,7,11,47,77,61
"CD300LB",2,1,1,0,1,2,1,4,3,1,5,0,3,0,4,1
"LOC107985074",0,0,3,0,0,2,0,2,0,0,4,0,8,2,1,1
"CD300C",8,8,17,5,3,8,2,7,8,3,5,1,6,10,15,5
"CD300H",0,0,0,0,1,2,0,3,0,1,3,0,4,3,1,0
"CD300LD",0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,1
"CD300LD-AS1",0,0,0,0,2,0,0,0,0,0,2,1,0,0,3,1
"LOC101928343",1,6,4,0,0,11,0,13,0,0,5,0,1,0,0,0
"CD300E",3,2,1,3,5,13,6,32,3,2,28,0,10,3,8,6
"LOC105371894",4,2,0,0,2,0,0,3,0,0,6,0,7,1,0,1
"RAB37",12,8,7,21,10,6,15,19,55,39,12,14,1,146,193,134
"CD300LF",4,7,5,6,8,7,3,10,5,0,8,0,5,3,8,3
"SLC9A3R1-AS1",1,2,1,2,1,4,0,2,2,8,2,4,2,10,12,12
"MIR3615",0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,2
"NHERF1",37,62,74,49,203,156,36,125,47,146,283,17,160,128,177,201
"NAT9",47,100,77,17,78,55,146,92,58,86,107,5,88,68,78,109
"TMEM104",12,27,20,8,38,38,51,69,38,64,57,5,44,44,68,91
"GRIN2C",1,27,16,3,10,2,7,8,2,2,3,0,7,5,4,6
"FDXR",11,24,40,4,40,16,21,78,27,24,40,6,40,15,17,26
"FADS6",0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,3
"USH1G",0,1,1,0,7,6,0,40,0,0,0,0,2,0,0,2
"OTOP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTOP3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"HID1",6,4,8,6,12,3,8,9,6,18,8,0,4,10,18,18
"HID1-AS1",0,0,0,2,0,1,1,0,0,2,0,0,1,0,0,1
"CDR2L",4,0,0,3,8,8,7,12,1,3,5,0,8,0,8,7
"MRPL58",13,20,13,12,23,16,14,17,20,12,14,1,42,29,32,34
"KCTD2",65,117,89,29,73,73,249,118,92,64,89,11,81,82,98,117
"TRR-CCT1-1",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"TRR-CCT2-1",0,2,1,1,1,0,1,0,0,2,1,6,0,0,0,1
"TRR-TCG3-1",1,12,3,1,6,1,0,0,0,9,1,1,0,6,19,37
"ATP5PD",66,62,89,43,106,89,106,89,44,48,100,3,116,133,88,121
"SLC16A5",37,88,34,7,28,23,69,14,27,9,45,1,18,5,18,15
"ARMC7",18,18,18,4,18,22,20,28,27,45,40,2,15,40,72,50
"NT5C",34,25,34,7,20,22,57,20,16,8,31,3,17,12,11,13
"LOC107985034",4,10,4,4,2,5,14,11,5,9,10,1,10,16,11,14
"JPT1",11,13,28,9,33,28,10,9,34,54,49,15,61,137,97,133
"SUMO2",181,173,217,66,115,77,231,110,110,99,142,26,145,287,244,252
"NUP85",54,108,103,46,98,85,167,116,158,171,176,38,143,273,239,283
"GGA3",40,100,93,36,89,79,136,132,138,101,166,31,101,211,257,275
"MRPS7",54,110,81,43,60,72,161,91,57,21,78,5,123,91,81,105
"MIF4GD",18,58,47,20,48,50,122,93,41,47,86,8,44,71,93,71
"MIF4GD-DT",3,3,12,4,25,17,14,24,11,16,25,4,10,20,20,16
"SLC25A19",5,7,18,4,71,23,24,26,12,22,101,4,22,30,31,36
"GRB2",245,230,328,127,261,206,458,262,321,367,353,88,278,524,482,571
"MIR3678",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM94",86,126,97,44,94,165,199,234,173,400,122,67,92,156,254,231
"MIR6785",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
"CASKIN2",26,41,54,7,27,29,74,86,32,4,52,2,28,8,15,32
"TSEN54",31,53,22,11,49,42,69,70,55,31,75,7,35,43,52,59
"LOC107985023",9,12,3,2,7,9,14,9,12,5,11,1,9,1,13,14
"LLGL2",42,103,31,11,91,50,161,49,76,17,187,8,115,13,20,27
"MYO15B",266,518,494,82,118,152,732,224,780,686,93,159,96,561,868,851
"RECQL5",111,253,60,29,79,89,218,151,148,97,105,15,87,82,86,121
"SMIM5",100,234,14,15,25,22,109,46,56,40,54,10,36,39,39,46
"SMIM6",0,1,2,1,0,2,9,10,5,11,1,0,3,4,16,6
"LOC107985013",2,2,3,2,4,5,8,8,8,5,6,0,7,4,3,5
"SAP30BP",65,94,90,46,79,68,166,90,89,126,102,24,124,117,184,217
"ITGB4",31,137,75,12,148,104,96,131,75,15,461,7,142,8,36,30
"GALK1",5,10,7,1,7,2,32,19,12,20,8,7,8,13,29,24
"H3-3B",1329,1220,1128,334,665,643,2843,802,1107,363,1275,163,1217,1584,1604,1381
"MIR4738",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"UNK",155,204,218,62,185,193,335,273,260,207,232,31,186,343,407,427
"UNC13D",22,22,34,27,42,60,31,46,100,203,190,47,37,159,260,301
"WBP2",32,71,50,42,136,156,156,172,78,99,194,12,106,62,94,125
"TRIM47",6,19,28,15,41,40,78,60,14,15,82,2,52,14,10,33
"TRIM65",14,73,50,24,70,35,95,71,64,53,68,17,97,75,76,89
"MRPL38",27,58,42,11,43,46,87,61,48,51,85,7,62,54,74,64
"FBF1",18,43,24,8,87,56,74,118,64,31,130,21,104,53,88,66
"ACOX1",301,512,555,149,368,263,1036,431,526,145,419,49,608,602,394,490
"TEN1-CDK3",14,25,17,6,38,33,33,17,18,6,43,6,35,12,9,14
"TEN1",7,8,7,3,23,14,11,5,2,3,16,4,8,3,5,5
"CDK3",7,16,9,4,14,16,19,13,13,1,25,2,27,9,4,9
"EVPL",0,0,0,1,60,55,0,11,5,3,132,0,82,1,19,5
"SRP68",93,218,259,76,189,157,380,204,191,103,211,15,250,192,203,217
"GALR2",4,1,18,5,8,4,2,3,10,13,7,2,7,23,22,34
"ZACN",38,62,38,11,180,46,124,85,76,28,61,1,56,53,54,56
"EXOC7",302,574,455,132,436,386,1063,647,578,374,494,81,470,519,690,643
"MIR6868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC101928447",0,1,0,0,0,1,3,0,2,0,3,0,0,0,0,0
"FOXJ1",4,20,0,0,0,1,226,0,17,2,5,0,11,0,1,2
"RNF157-AS1",3,14,4,2,1,6,46,8,16,8,3,2,3,1,2,6
"RNF157",20,88,43,22,20,28,107,53,67,36,30,6,13,38,23,37
"LOC105371896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107985019",0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,2
"UBALD2",23,27,27,20,128,43,62,43,26,73,62,9,57,52,88,78
"QRICH2",23,37,56,13,26,47,77,84,78,52,38,5,36,71,50,71
"PRPSAP1",91,122,198,82,60,72,173,173,137,23,110,17,149,138,115,93
"SPHK1",0,11,12,6,2,5,20,3,13,8,20,0,19,2,15,6
"UBE2O",43,81,63,31,115,91,154,98,106,81,172,19,157,111,126,151
"AANAT",0,4,4,1,3,13,3,26,6,3,2,1,3,3,6,4
"RHBDF2",23,31,40,20,67,77,50,195,40,32,123,10,44,17,61,39
"CYGB",7,6,38,5,26,7,35,37,12,9,37,1,23,22,11,5
"PRCD",6,9,14,10,9,14,27,76,20,19,41,3,10,22,23,14
"SNHG16",105,190,105,62,152,132,236,290,122,61,338,11,391,130,137,113
"SNORD1C",3287,456,223,85,902,313,2851,1292,2243,104,3472,73,1047,174,276,245
"SNORD1B",53080,4393,881,3097,24375,13219,26394,9494,29618,2433,58984,976,16688,2622,3054,2635
"SNORD1A",984,51,14,27,278,62,3969,3499,2503,113,10667,64,2134,122,239,212
"ST6GALNAC2",95,33,25,16,63,45,86,79,30,1,68,0,78,6,7,5
"ST6GALNAC1",0,0,0,2,12,2,2,6,0,1,39,0,19,1,0,1
"LOC105274304",6,2,3,1,2,1,3,5,2,4,5,1,3,29,8,10
"MXRA7",270,215,355,53,76,161,163,224,101,69,258,21,124,88,91,77
"JMJD6",11,32,48,7,38,57,48,76,46,58,87,5,36,75,58,71
"METTL23",41,46,49,21,41,42,100,87,43,48,69,5,80,134,97,112
"SRSF2",462,422,546,203,357,206,664,266,361,387,555,73,686,1686,1109,1183
"MIR636",0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0
"MFSD11",92,180,130,46,123,83,221,155,122,96,123,30,158,223,184,178
"LINC02080",2,8,1,0,6,3,1,11,9,1,0,1,2,9,0,2
"LOC107985089",0,2,0,0,0,1,1,1,4,3,0,0,1,0,0,0
"LINC00868",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MGAT5B",0,0,0,4,1,5,0,21,1,6,2,1,1,2,5,8
"LOC105371899",0,0,1,0,0,0,0,2,6,9,4,0,5,18,25,19
"SNHG20",17,28,32,13,47,14,75,22,24,18,22,4,17,16,30,28
"SEC14L1",126,272,280,78,97,115,1263,157,306,127,145,35,186,141,188,219
"SCARNA16",450,191,60,60,180,198,1704,2002,947,142,2592,60,808,278,436,340
"MIR6516",419,150,31,48,81,94,1575,1972,937,126,2442,53,753,188,394,318
"LOC105371900",1,1,1,1,2,0,10,2,2,2,4,0,1,0,0,0
"LOC105371901",1,3,2,0,0,0,9,1,2,0,1,0,0,4,1,0
"LACAT1",0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0
"SEPTIN9-DT",0,1,0,0,1,2,5,4,4,1,1,0,0,0,0,2
"SEPTIN9",235,490,401,230,335,379,1139,685,592,1275,523,231,347,884,1310,1769
"MIR4316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC112268199",4,8,14,5,15,25,43,32,34,61,44,28,9,65,106,132
"LOC105371903",7,12,25,17,18,18,49,35,40,153,42,30,7,101,157,195
"LOC400622",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"LOC100507351",3,41,32,3,53,88,317,84,38,1,109,1,42,3,4,6
"LOC107985079",3,0,6,4,1,2,1,9,8,29,3,7,2,59,100,2
"LINC01987",0,0,0,0,67,9,0,0,0,0,30,0,18,1,0,0
"LOC105371908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01973",1,0,0,1,1,3,0,0,5,0,1,0,2,16,19,13
"LOC107985087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105371909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNRC6C",61,128,219,124,251,186,185,201,353,578,346,130,218,1040,1065,1280
"LOC107985010",2,8,9,5,8,8,7,11,18,8,3,0,4,59,26,40
"TNRC6C-AS1",11,20,14,17,30,27,37,12,43,78,103,17,44,66,60,90
"TMC6",113,127,69,66,217,204,269,228,227,378,703,111,303,322,398,633
