"","GSM2109575","GSM2109576","GSM2109577","GSM2109578","GSM2109579","GSM2109580","GSM2109581","GSM2109582","GSM2109583","GSM2109584","GSM2109585","GSM2109586","GSM2109587","GSM2109588","GSM2109589","GSM2109590"
"DDX11L1",0,2,2,1,3,2,2,4,2,7,2,1,1,5,9,5
"WASH7P",41,48,42,14,52,59,43,81,43,57,50,20,38,59,65,83
"MIR6859-1",0,1,2,0,1,2,1,2,1,1,1,1,1,2,1,4
"MIR1302-2HG",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MIR1302-2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FAM138A",1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"OR4F5",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"LOC100996442",12,15,28,7,18,16,20,40,25,11,26,1,15,28,28,33
"LOC729737",16,25,38,8,12,22,21,77,48,60,38,27,19,20,47,53
"DDX11L17",0,2,2,1,2,2,2,5,3,5,2,1,2,2,8,5
"WASH9P",44,57,48,14,66,54,42,86,52,45,53,22,41,65,87,93
"MIR6859-2",0,1,1,0,1,2,1,2,1,1,1,1,1,2,1,5
"LOC107985721",0,0,2,0,0,0,0,1,2,1,0,0,0,2,1,1
"LOC112268260",6,3,5,3,6,9,12,7,4,7,5,1,6,15,8,9
"OR4F29",2,1,1,0,0,2,2,1,0,0,0,0,0,2,1,2
"LOC100132287",16,23,32,4,14,19,21,51,43,43,28,16,12,18,45,51
"LOC105378947",1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0
"LOC101928626",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"MIR12136",102,85,104,37,108,86,76,1162,52,127,165,135,260,135,225,167
"OR4F16",11,6,7,4,2,7,8,10,6,3,1,0,7,17,7,13
"LOC100133331",13,27,39,7,15,21,19,55,50,46,29,25,19,23,45,56
"LOC107984841",4,6,10,1,4,4,6,17,13,7,9,2,6,11,12,14
"LOC107984847",5,9,10,8,1,6,6,13,12,4,16,1,6,20,15,32
"LOC107984849",1,2,2,0,1,1,1,2,4,2,1,1,1,2,5,3
"LOC100288069",9,10,14,6,11,10,12,24,25,9,18,2,17,24,23,23
"LINC01409",55,46,57,26,45,31,54,44,56,51,32,21,37,110,94,129
"FAM87B",8,14,26,7,8,15,8,13,13,11,10,1,7,26,19,30
"LINC00115",9,21,10,1,1,6,18,10,3,12,7,4,7,30,32,31
"LINC01128",16,9,22,12,28,45,28,48,30,48,30,8,26,56,48,101
"LOC107984850",0,1,1,1,1,2,1,1,4,0,1,1,1,1,1,2
"FAM41C",8,4,1,1,2,2,3,7,7,1,2,0,2,3,2,2
"LOC284600",2,1,0,0,2,0,0,0,0,8,0,2,6,5,6,5
"LINC02593",0,1,13,1,0,0,0,0,0,0,0,0,3,0,0,0
"LOC107985728",0,0,8,1,1,1,0,1,0,2,1,1,4,2,0,0
"SAMD11",5,7,6,4,6,3,6,7,9,8,5,6,14,8,14,15
"NOC2L",106,103,72,33,64,71,135,71,117,83,69,24,102,69,98,131
"KLHL17",4,3,6,2,4,10,6,9,10,19,3,1,10,13,35,45
"PLEKHN1",0,3,2,0,2,5,8,1,2,1,2,0,1,0,2,0
"PERM1",2,3,3,0,0,1,8,0,4,0,0,0,0,0,3,2
"HES4",13,22,20,2,5,4,24,4,4,22,0,7,4,27,22,19
"ISG15",26,36,22,4,13,58,21,12,13,21,79,13,62,19,168,52
"AGRN",458,265,203,44,167,128,126,371,169,52,65,11,143,26,84,56
"LOC100288175",2,10,1,8,44,1,4,1,12,4,8,1,33,2,8,4
"LOC112267874",2,4,2,2,10,0,0,0,2,0,1,0,11,1,5,1
"LOC105378948",4,16,4,11,41,5,6,1,12,5,9,5,44,5,23,14
"RNF223",0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,2
"C1orf159",13,8,9,1,29,15,10,13,15,16,11,5,11,11,21,28
"LINC01342",0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0
"MIR200B",2,2,2,0,5,3,0,0,1,0,1,0,0,0,0,0
"MIR200A",2,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0
"MIR429",4,8,1,0,8,0,0,0,4,0,1,0,6,0,0,1
"TTLL10-AS1",2,2,0,0,3,2,0,2,2,1,1,0,0,0,0,1
"TTLL10",12,12,4,1,7,7,0,17,0,1,2,2,12,0,3,0
"TNFRSF18",1,1,4,2,18,3,2,4,1,0,10,0,11,0,3,6
"TNFRSF4",0,1,5,4,99,4,13,3,10,11,23,0,71,7,7,6
"SDF4",87,127,116,32,77,92,122,97,79,125,103,38,112,86,111,134
"B3GALT6",36,66,53,20,37,18,58,36,27,30,15,4,38,44,58,57
"C1QTNF12",1,1,7,0,1,0,1,0,2,0,0,0,0,0,0,2
"UBE2J2",84,58,72,18,75,60,74,63,64,89,68,30,85,87,114,140
"LINC01786",6,12,11,4,4,10,17,32,2,6,4,0,1,4,11,17
"SCNN1D",6,7,6,2,4,16,7,35,6,4,6,0,6,9,6,10
"ACAP3",116,97,117,27,160,249,118,578,185,228,166,47,205,169,235,288
"MIR6726",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SNORD167",3,0,1,0,1,3,1,3,5,6,2,1,0,0,1,4
"PUSL1",26,10,8,5,32,22,15,26,30,22,20,4,34,19,26,29
"INTS11",108,120,117,41,148,119,154,156,113,152,168,24,90,151,165,196
"MIR6727",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CPTP",18,16,15,8,21,21,21,45,30,27,29,11,21,24,23,31
"TAS1R3",17,8,14,1,30,10,4,16,6,10,21,3,13,3,12,8
"DVL1",39,42,42,16,62,63,51,51,23,23,61,6,56,28,42,54
"MIR6808",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"MXRA8",45,26,627,6,86,60,34,63,15,40,19,4,112,24,43,38
"AURKAIP1",25,46,25,13,47,27,49,55,20,28,37,9,72,101,71,92
"CCNL2",572,639,522,252,613,549,717,471,403,464,932,103,730,912,741,916
"MRPL20-AS1",40,24,29,17,35,20,39,31,33,43,25,2,38,56,79,62
"MRPL20",125,92,73,33,76,69,104,44,50,65,72,6,110,111,91,148
"LOC107984868",33,13,8,7,11,9,16,17,17,3,12,0,9,3,16,1
"ANKRD65",145,78,59,15,99,31,178,55,134,4,83,4,92,11,21,9
"ANKRD65-AS1",8,21,13,3,4,2,12,7,3,0,1,0,0,0,3,0
"TMEM88B",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"LINC01770",4,6,6,2,0,3,7,1,6,2,1,0,0,0,2,0
"LOC107985729",1,2,1,0,1,1,3,2,2,0,2,0,2,0,0,1
"VWA1",40,30,28,3,16,14,104,15,21,10,17,0,22,1,6,4
"ATAD3C",28,25,21,15,10,10,93,18,53,5,7,2,21,2,8,8
"ATAD3B",63,74,45,15,62,37,65,58,62,60,87,9,88,33,65,77
"ATAD3A",24,23,20,5,46,36,41,41,26,40,59,5,73,16,25,44
"TMEM240",0,2,3,1,0,5,0,0,0,1,0,0,1,0,0,1
"SSU72",155,122,131,41,83,97,157,112,92,75,78,11,91,119,141,183
"FNDC10",0,0,1,0,4,3,1,2,0,1,0,0,5,0,3,1
"LOC105378586",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
"MIB2",118,115,96,22,75,100,100,94,90,182,40,62,66,138,190,227
"MMP23B",6,3,15,2,6,4,3,4,2,12,4,3,6,12,15,15
"CDK11B",39,23,56,24,55,61,55,34,57,125,80,48,56,170,179,201
"SLC35E2B",236,176,222,79,189,178,278,222,314,559,140,115,139,487,586,685
"MMP23A",2,1,8,0,1,1,0,2,0,0,2,1,2,2,4,2
"CDK11A",54,25,38,21,59,50,43,42,53,112,78,58,52,152,170,186
"SLC35E2A",222,184,195,82,169,116,265,170,286,400,159,86,114,457,585,650
"LOC112268218",5,9,7,3,5,7,7,7,6,9,7,2,14,10,17,19
"NADK",75,99,97,47,121,94,91,68,54,47,140,13,175,105,126,149
"GNB1",1263,1220,1135,373,857,543,1359,600,708,510,728,122,820,1021,1080,1075
"GNB1-DT",2,16,4,2,4,8,10,3,2,5,2,0,3,10,7,9
"CALML6",7,9,2,0,30,17,15,35,13,5,24,0,13,7,1,2
"TMEM52",0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0
"CFAP74",0,0,0,0,1,1,1,0,0,2,2,0,1,0,3,4
"LOC107984872",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"LOC105378589",1,1,1,0,2,0,4,0,1,1,1,1,1,1,0,3
"GABRD",0,0,0,0,2,0,7,3,1,0,0,1,0,0,1,0
"LOC105378590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRKCZ-DT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRKCZ",27,49,19,7,27,39,91,32,22,35,33,13,13,25,53,43
"PRKCZ-AS1",4,13,0,1,5,4,20,8,5,8,0,0,1,4,6,8
"FAAP20",159,64,58,20,116,110,191,280,197,81,67,18,35,52,102,110
"LOC112268219",13,16,13,4,19,22,13,29,18,29,9,13,14,28,26,46
"LOC105378593",3,4,2,0,0,1,2,5,3,0,1,0,2,0,1,3
"SKI",191,186,284,58,198,239,268,201,204,173,193,77,210,95,220,200
"MORN1",38,41,16,9,23,29,88,34,35,15,23,12,23,37,40,48
"LOC100129534",11,15,7,5,7,14,16,4,17,5,8,0,6,10,13,15
"RER1",256,176,198,77,210,140,264,191,250,117,141,24,210,193,253,266
"PEX10",37,37,31,12,37,34,52,32,23,14,38,4,38,36,49,32
"PLCH2",29,36,38,22,289,284,5,304,38,61,92,7,219,29,60,60
"PANK4",17,52,44,14,30,31,47,38,43,90,43,22,50,73,74,120
"HES5",0,0,0,0,4,0,1,0,0,9,1,2,6,0,0,0
"TNFRSF14-AS1",24,42,38,19,41,53,112,58,74,49,39,10,60,26,48,44
"TNFRSF14",126,149,149,70,189,220,299,215,252,212,167,52,259,202,289,251
"LOC100996583",0,2,0,2,3,8,7,4,1,8,4,0,1,19,13,15
"PRXL2B",35,51,30,14,34,26,112,26,32,19,14,10,50,30,37,39
"MMEL1",2,2,1,1,6,2,3,1,2,6,2,0,8,2,3,3
"MMEL1-AS1",0,1,1,0,0,0,0,0,1,0,1,0,0,4,2,0
"TTC34",21,37,20,3,12,18,55,13,11,36,3,4,5,24,38,33
"LOC105378603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105378602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105378601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC112268220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107985732",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"LOC105378600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105378598",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"LOC107984904",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"LOC105378599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRDM16-DT",0,5,17,0,4,0,0,0,0,0,2,1,0,0,0,3
"PRDM16",1,8,10,1,3,0,0,2,0,0,2,0,3,0,2,0
"MIR4251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105378606",1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0
"LOC107984909",0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0
"LOC105378605",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"LOC105378604",1,5,9,2,7,1,0,3,1,2,3,2,2,0,1,4
"ARHGEF16",8,11,9,3,17,16,13,22,16,1,1,0,12,2,8,6
"MEGF6",89,92,156,27,53,96,50,54,83,82,29,21,70,63,140,91
"LOC105378608",1,0,0,0,0,1,3,1,0,7,1,4,1,0,1,0
"MIR551A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LOC105378607",2,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1
"TPRG1L",177,155,99,32,176,119,155,110,121,48,112,6,155,63,96,82
"WRAP73",44,27,35,11,78,21,47,26,25,32,44,6,58,26,42,50
"TP73",137,112,67,18,29,71,72,141,120,9,14,5,40,12,15,22
"TP73-AS3",0,0,0,1,2,1,2,0,2,0,3,0,14,0,1,1
"LOC105378609",0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0
"TP73-AS1",269,412,166,60,81,64,315,49,278,73,72,23,94,59,162,135
"CCDC27",23,40,9,4,4,0,48,4,21,2,1,0,1,0,1,1
"SMIM1",54,37,9,10,3,2,127,0,34,0,0,0,0,0,2,3
"LRRC47",516,465,167,139,137,97,626,113,237,78,96,18,174,158,167,190
"CEP104",627,413,256,99,161,132,314,164,282,136,117,40,155,336,323,383
"DFFB",49,29,31,11,39,34,18,27,48,18,18,5,28,32,19,42
"LOC107984910",4,1,3,0,9,2,0,0,2,0,2,0,1,4,8,6
"C1orf174",117,105,93,36,67,51,70,35,80,57,45,15,69,131,118,137
"LINC01134",0,1,3,0,0,4,4,3,1,3,1,0,4,0,0,0
"LINC01346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01345",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LINC02780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105376674",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LINC01646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107985376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJAP1",0,0,2,10,0,1,13,3,3,4,1,0,8,17,3,22
"LINC02781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC102724429",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC02782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105376682",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107984911",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"LOC105376686",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MIR4689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPHP4",11,28,37,6,24,22,154,52,89,78,24,15,41,63,89,99
"KCNAB2",15,27,43,44,48,75,32,53,104,193,60,32,33,146,236,291
"CHD5",11,41,6,8,0,50,164,5,6,7,0,4,3,10,8,10
"LOC105376687",0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0
"RPL22",741,745,680,240,293,280,853,182,382,243,296,64,538,774,693,657
"LOC107985733",1,1,2,1,4,3,3,1,0,3,7,0,3,0,2,1
"RNF207-AS1",1,2,0,0,3,2,1,1,2,0,1,0,0,0,0,1
"RNF207",40,47,56,22,100,45,78,69,45,21,125,14,141,28,39,34
"ICMT",183,303,214,90,186,121,700,211,238,114,178,31,244,267,273,302
"ICMT-DT",0,0,0,1,0,0,6,2,0,2,0,0,0,0,0,2
"HES3",0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,1
"GPR153",14,24,20,4,10,15,174,57,50,23,13,10,7,16,28,31
"ACOT7",15,19,5,7,9,50,38,28,17,20,71,7,18,30,49,39
"HES2",7,1,1,3,4,11,0,2,0,1,3,0,8,0,6,3
"ESPN",25,8,5,6,40,96,17,4,5,8,33,4,37,4,10,13
"MIR4252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNFRSF25",14,18,26,15,55,51,21,19,11,46,45,20,72,37,54,74
"PLEKHG5",69,64,88,11,152,115,105,128,60,18,90,0,153,21,24,22
"NOL9",262,241,264,92,230,192,253,163,260,155,142,29,228,374,366,427
"TAS1R1",2,0,0,0,2,2,3,0,1,0,1,0,2,0,2,1
"LOC107984912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZBTB48",76,74,48,19,150,80,112,81,114,72,122,10,175,81,107,108
"KLHL21",453,205,238,70,382,136,355,171,227,69,272,15,299,95,108,118
"LOC107984913",34,11,18,2,6,3,25,8,8,1,1,0,4,7,14,5
"PHF13",97,86,107,30,43,33,89,52,46,40,53,10,73,96,64,64
"THAP3",32,24,39,10,35,33,44,48,38,41,45,4,38,49,55,51
"DNAJC11",67,59,50,25,72,74,91,127,83,59,82,20,97,60,91,132
"LINC01672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMTA1-DT",3,1,0,1,0,2,4,4,3,2,2,0,3,2,2,3
"CAMTA1",230,196,182,40,122,114,450,93,119,87,193,11,185,147,139,145
"LOC105376692",0,2,0,0,0,0,5,0,2,0,1,0,0,0,0,0
"CAMTA1-AS2",1,2,0,1,0,1,4,0,2,0,2,0,0,0,1,1
"CAMTA1-AS1",0,3,2,0,2,0,1,0,0,0,1,0,0,0,0,0
"LOC105376691",0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0
"LOC105376689",14,8,18,6,16,22,27,11,12,1,43,0,6,9,2,2
"VAMP3",234,195,363,88,186,163,235,228,131,46,177,20,273,146,190,187
"PER3",1019,416,1172,64,62,247,754,513,610,51,137,9,187,56,115,91
"UTS2",4,0,5,3,1,7,6,5,4,0,3,0,4,4,2,8
"TNFRSF9",42,8,22,21,18,6,30,13,8,29,77,15,48,46,74,76
"PARK7",225,129,135,67,152,106,304,174,123,83,138,14,179,170,205,215
"ERRFI1",1290,1671,716,295,164,100,3349,66,655,37,247,12,384,100,110,31
"LOC107984915",0,5,0,0,0,0,1,0,1,4,2,0,0,0,1,0
"LINC01714",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"LOC105376695",0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"SLC45A1",1,1,0,0,5,0,9,0,1,0,1,0,5,0,0,0
"RERE",600,371,581,130,291,345,590,283,332,378,231,82,239,465,445,459
"RERE-AS1",18,9,4,2,12,12,18,9,9,12,9,1,10,8,22,21
"SNORD128",8,125,44,15,29,4,7,1,5,7,14,3,36,53,8,15
"ENO1",1329,941,973,277,1373,382,917,495,605,419,1421,141,1247,1004,907,1144
"MIR6728",4,1,0,0,1,0,1,0,5,0,2,1,2,0,0,1
"ENO1-AS1",0,0,2,0,1,1,0,1,0,6,0,0,0,5,2,2
"LOC112268261",5,2,6,8,2,17,1,2,3,6,8,0,1,8,11,9
"CA6",0,0,2,2,0,9,0,0,12,5,0,0,0,8,2,5
"SLC2A7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SLC2A5",6,3,19,2,13,22,9,9,19,2,224,0,55,9,8,0
"GPR157",49,125,21,24,56,42,38,40,39,38,322,6,101,24,89,57
"MIR34AHG",87,108,92,31,166,111,45,111,75,4,166,5,132,9,22,27
"MIR34A",3,19,7,4,8,4,2,5,2,0,6,1,5,0,3,2
"LNCTAM34A",10,9,13,1,18,10,7,4,8,0,7,0,4,2,0,0
"H6PD",257,292,424,103,255,367,291,344,314,274,251,47,363,454,573,779
"SPSB1",32,37,52,13,57,28,133,21,58,27,83,8,91,38,63,76
"LINC02606",0,3,4,0,1,2,0,4,1,3,2,1,2,3,0,1
"SLC25A33",34,38,41,16,48,6,70,18,18,4,32,2,51,29,30,33
"TMEM201",28,15,39,11,36,21,29,45,48,71,46,9,33,30,53,58
"LOC107985734",2,0,2,0,2,1,0,4,1,5,6,1,5,5,5,6
"LOC105376712",0,0,0,1,0,0,0,0,5,8,0,0,0,0,0,4
"PIK3CD",108,73,154,96,87,131,102,92,213,253,114,67,52,244,303,435
"PIK3CD-AS1",0,0,7,7,1,12,1,2,11,20,7,15,0,21,49,68
"PIK3CD-AS2",3,5,6,4,6,7,5,2,7,11,3,7,1,17,20,25
"CLSTN1",1465,716,946,181,561,597,1010,343,625,230,511,50,390,378,342,436
"CTNNBIP1",71,58,87,21,92,226,64,123,79,46,55,6,91,79,96,105
"LOC105376717",2,0,3,2,2,3,1,3,8,6,3,0,2,9,11,17
"LZIC",297,221,190,73,142,123,218,157,158,118,87,17,204,221,235,255
"NMNAT1",60,46,34,15,34,45,60,50,30,24,35,4,50,53,54,64
"TMEM274P",1,0,1,0,2,2,3,5,5,0,2,0,1,6,7,5
"MIR5697",1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
"RBP7",85,28,86,6,6,2,6,11,11,1,5,0,9,38,10,16
"UBE4B",227,180,247,78,220,277,230,236,230,191,173,24,244,362,321,381
"KIF1B",796,345,517,123,259,358,785,362,464,122,381,38,482,333,330,308
"LOC105376725",14,9,3,4,3,8,23,7,10,8,8,0,10,8,4,13
"PGD",87,62,79,39,96,80,99,55,113,52,84,7,113,79,108,140
"CENPS-CORT",8,10,4,4,8,6,17,3,9,2,7,3,16,10,7,24
"CENPS",12,11,7,3,10,11,26,8,8,7,12,3,22,17,16,20
"CORT",1,4,1,1,3,4,2,1,7,1,2,1,3,6,2,8
"DFFA",204,192,173,60,199,118,202,206,219,78,199,12,230,174,189,157
"PEX14",60,62,46,28,88,78,81,78,80,45,74,9,126,82,63,91
"CASZ1",47,45,54,16,176,72,43,22,52,45,145,15,106,36,38,45
"LOC105376733",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"LOC105376735",0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"C1orf127",8,1,1,1,1,1,1,0,5,0,1,1,2,0,0,1
"TARDBP",1078,1013,819,313,490,329,670,295,557,462,536,64,831,1375,963,1013
"MASP2",55,79,62,14,26,13,30,26,24,9,20,6,23,33,61,41
"SRM",11,8,21,7,20,17,19,29,12,20,30,5,42,21,18,41
"EXOSC10",302,190,250,74,169,141,392,184,275,112,181,14,192,284,305,389
"EXOSC10-AS1",9,4,7,1,3,6,19,12,15,12,9,4,15,9,25,17
"MTOR",290,242,268,152,292,379,533,317,335,246,367,56,429,583,665,792
"MTOR-AS1",15,2,3,9,6,17,13,11,19,4,6,1,13,12,15,20
"ANGPTL7",15,16,18,12,17,16,18,22,35,19,25,10,26,51,49,59
"UBIAD1",54,68,101,25,36,50,89,65,77,105,47,15,30,108,135,146
"LOC105376737",0,0,0,0,0,1,0,7,1,0,5,0,1,2,0,2
"LOC105376739",0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0
"LOC105376740",0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0
"DISP3",0,1,2,1,0,2,1,27,5,5,4,1,6,0,1,1
"LOC112268221",0,0,1,0,2,1,0,4,0,0,4,1,4,0,1,0
"LINC01647",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"FBXO2",41,66,20,12,17,71,160,53,11,20,45,4,33,10,14,19
"FBXO44",46,89,68,20,49,88,142,145,74,31,82,14,48,20,35,55
"FBXO6",8,20,17,7,23,15,30,46,12,7,30,0,14,22,33,20
"MAD2L2",8,9,12,20,24,14,20,16,21,65,16,4,7,61,46,58
"DRAXIN",0,0,1,2,0,1,3,3,5,2,0,2,3,3,5,7
"AGTRAP",8,25,12,3,31,19,29,14,14,26,21,4,35,26,53,44
"C1orf167",16,34,16,9,29,32,40,55,32,23,19,4,20,20,27,33
"C1orf167-AS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"MTHFR",108,150,126,57,187,175,241,279,160,101,117,21,172,120,177,222
"CLCN6",83,84,114,39,86,86,154,130,91,54,96,8,70,106,165,141
"NPPA-AS1",12,12,11,3,9,9,12,23,15,9,14,1,8,3,8,18
"NPPA",0,1,2,2,1,3,2,2,3,3,1,0,2,2,7,6
"NPPB",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RNU5E-1",3429,835,456,425,1741,566,2710,423,930,2397,3714,1200,4696,5676,2745,1525
"KIAA2013",93,123,89,40,80,83,142,75,63,65,57,21,84,94,114,124
"PLOD1",62,46,91,6,40,58,106,65,37,7,26,1,53,13,17,18
"MFN2",299,275,204,89,453,353,405,634,317,156,472,36,594,225,230,291
"MIIP",10,13,15,8,34,24,22,39,22,30,37,5,50,6,51,39
"MIR6729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNFRSF8",0,0,2,1,3,1,0,3,2,17,3,1,21,5,8,6
"MIR7846",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"TNFRSF1B",61,28,83,62,88,78,64,124,64,144,227,50,79,99,213,207
"MIR4632",0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0
"LOC107984917",0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,2
"VPS13D",1233,993,1095,394,812,1018,1116,811,971,662,984,135,1170,1458,1618,1838
"SNORA59A",37,45,7,11,11,21,25,3,3,3,9,1,14,7,9,6
"LINC02766",2,1,8,3,4,4,2,4,1,25,3,7,1,18,42,37
"DHRS3",168,63,354,13,173,35,25,115,34,34,56,7,152,94,88,134
"MIR6730",1,0,0,0,1,1,0,1,1,4,0,1,1,0,1,0
"AADACL4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"CFAP107",0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0
"PRAMEF12",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"PRAMEF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL1",9,8,8,5,5,3,5,4,14,5,3,2,6,8,9,10
"PRAMEF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PRAMEF7",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"PRAMEF6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF27",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"HNRNPCL3",0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1
"PRAMEF25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF34P",9,0,7,0,0,1,0,0,0,0,3,0,0,0,0,0
"HNRNPCL2",7,7,4,4,4,3,4,4,6,1,1,0,3,7,6,5
"PRAMEF36P",6,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0
"PRAMEF26",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"HNRNPCL4",1,3,2,0,2,1,1,1,1,0,2,0,0,3,4,1
"PRAMEF9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF13",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF18",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"PRAMEF5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF8",0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
"PRAMEF33",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PRAMEF15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"PRAMEF14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF19",2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0
"PRAMEF17",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"PRAMEF20",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"LRRC38",0,0,0,0,0,0,0,0,2,1,0,2,0,14,6,6
"LOC102724856",0,0,0,1,0,0,0,0,6,1,0,0,1,1,4,10
